model,setting,horizon,station,MAE,RMSE,R2,MAPE,spike_MAE,spike_RMSE,spike_recall,n,n_spike
linear,multi,6,Changping,26.825493265796524,43.563941924623336,0.6853410014110575,0.7266873753150499,34.44637578099339,51.18884496838597,0.8538538538538538,5803,1998
linear,multi,6,Dingling,28.61064250761325,46.673113060673494,0.6580534306941754,0.718733800205132,37.965492795183444,56.36332238875928,0.8639420589756854,5803,1933
linear,multi,6,Dongsi,34.29860899453736,54.7831121460395,0.6852418335618848,0.6513300669645441,44.03403270397086,65.12588930202706,0.872084273890143,5803,2658
linear,multi,6,Guanyuan,31.602677640597737,49.855581810264155,0.7052126529698645,0.6638916756914657,39.67144440317881,57.65363256647106,0.8682049276495893,5803,2557
linear,multi,6,Gucheng,31.658049052776025,53.384489407632024,0.6911819662474086,0.6651634791809277,40.582132964613336,63.663350910104946,0.8496810207336523,5803,2508
linear,multi,6,Huairou,25.73920789669654,39.660173840098274,0.7104948879663244,0.6241039461051123,34.18404375885735,49.44131688249368,0.8517956499747091,5803,1977
linear,multi,6,Nongzhanguan,32.568639775956065,51.97020723929842,0.6988369244564376,0.6421798719587863,42.51260932956027,63.420840198269765,0.8640192539109507,5803,2493
linear,multi,6,Shunyi,30.242292798265968,48.59319300584412,0.6945919785643324,0.5976757119083822,41.7792070044927,63.15305578251867,0.8555987894509295,5803,2313
linear,multi,6,Tiantan,30.943897554961932,48.876151200725886,0.7071859293315357,0.6441475819022396,40.154309531093375,59.09676616759935,0.8484725050916497,5803,2455
linear,multi,6,Wanliu,29.175026275198274,46.33670609426628,0.7188656165934357,0.6258684923300247,35.05416311599405,52.374417632659615,0.8745279060008393,5803,2383
linear,multi,6,Wanshouxigong,33.40399067109769,54.33434459314346,0.6969675200601515,0.6627481314296355,43.13393725371509,65.91901511943966,0.8614130434782609,5803,2576
lstm,global,1,Aotizhongxin,23.631081786694278,33.71655078537017,0.8578222592279097,0.4744901797029908,33.72760596605417,47.45935533106844,0.9666388657214345,5808,2398
lstm,global,1,Changping,21.120314900211724,30.121679603757137,0.8495154498790987,0.5202524624862118,30.895607502491504,44.7243825990726,0.9409409409409409,5808,1998
lstm,global,1,Dingling,22.232006771176973,30.957766338824936,0.8495034436471434,0.5345232194192637,32.59239789604586,46.23292551773417,0.9524055871702017,5808,1933
lstm,global,1,Dongsi,26.149757398389916,39.0769644627338,0.8397582784316526,0.45252587387326304,37.4557067391745,53.42160120124447,0.9721595184349134,5808,2658
lstm,global,1,Guanyuan,23.926912756990795,35.09428953656876,0.8538486658921348,0.44170178743565003,34.32263097065615,48.50286633489921,0.9648025029331248,5808,2557
lstm,global,1,Gucheng,25.629544321827325,39.193490301098414,0.8334516715492838,0.4559929639364054,37.75594711455812,55.60054357347054,0.9597288676236044,5808,2508
lstm,global,1,Huairou,20.727693223427806,28.91345829322767,0.8460355889400694,0.5135081774015798,29.38892028762285,42.203879798086774,0.9615579160343956,5808,1977
lstm,global,1,Nongzhanguan,24.418408021453985,35.526105795076006,0.8591914744115553,0.4458100501458176,35.07754859205139,49.81056440776573,0.9715202567188127,5808,2493
lstm,global,1,Shunyi,22.920676589997345,33.13044054120017,0.8579160477349981,0.466082161570627,31.599135922829962,46.717572472578,0.9680621493310315,5808,2317
lstm,global,1,Tiantan,23.64536112661861,33.988026928715094,0.8583215574889218,0.45260586239673184,33.5727979702765,47.242314635011454,0.9608961303462322,5808,2455
lstm,global,1,Wanliu,23.319027902666203,33.80593408139813,0.8502748894775396,0.45051204265632444,32.93482896434225,47.36061935247457,0.9634913973982375,5808,2383
lstm,global,1,Wanshouxigong,25.247970751166015,38.409696750017375,0.8484743981338729,0.44453860237584536,36.46369989318137,52.84582849445768,0.96777950310559,5808,2576
lstm,global,6,Aotizhongxin,52.52236903438933,74.04326626150572,0.3147568444101647,1.20312248631464,65.58593971118816,100.2367321714978,0.9007506255212677,5803,2398
lstm,global,6,Changping,47.87653877577781,64.11934906301117,0.3183459413688946,1.3908386659661574,56.084622137778034,87.58344252103174,0.9174174174174174,5803,1998
lstm,global,6,Dingling,49.391952526481035,65.21501361211531,0.33239452216158105,1.387643652375778,56.2124169572178,88.66224699884177,0.926021727884118,5803,1933
lstm,global,6,Dongsi,56.03723998450214,81.42580925473557,0.3046430922877399,1.1572049861810239,70.63571704465524,108.22540378824536,0.8999247554552295,5803,2658
lstm,global,6,Guanyuan,53.25005222315955,76.01580025039183,0.3146869454738437,1.1547873432324796,66.55667035934931,101.38328447911927,0.9022291748142355,5803,2557
lstm,global,6,Gucheng,51.86490950057697,78.30315233183727,0.33559795671275494,1.044069840614991,68.86117633107746,107.93213301358752,0.8736044657097288,5803,2508
lstm,global,6,Huairou,46.867675917324846,60.974678625420204,0.3157007723373306,1.3347726864190745,52.29401237360443,80.60110824486554,0.9347496206373292,5803,1977
lstm,global,6,Nongzhanguan,54.00500146910874,77.18885197953341,0.3356422740728604,1.1432048784257391,67.27446509497834,103.6300546507838,0.9217809867629362,5803,2493
lstm,global,6,Shunyi,51.183291264162094,71.71461125647568,0.334811300584952,1.1478447642656797,63.805321112474836,98.02815788056127,0.8880242109814094,5803,2313
lstm,global,6,Tiantan,52.899465119491545,75.09530650484915,0.30876848373334,1.1867283961907766,65.54315197511507,101.1035345218112,0.9022403258655805,5803,2455
lstm,global,6,Wanliu,51.275109892731265,71.29935388423355,0.33436701288656745,1.1299479904842487,62.40489970442131,95.60834750738567,0.8980276961812841,5803,2383
lstm,global,6,Wanshouxigong,54.44106877517766,81.04887483357031,0.32572928977669546,1.1382471279458226,68.93539151197635,109.47866515985736,0.9277950310559007,5803,2576
lstm,multi,1,Aotizhongxin,20.735607559687505,30.525637979086476,0.8834600497993776,0.4487100206473883,27.277306194798562,42.149856300815856,0.9366138448707256,5808,2398
lstm,multi,1,Changping,18.929701365058417,27.542658338425362,0.8741812823849561,0.5064977183547108,24.49936226777009,39.52602038544127,0.9324324324324325,5808,1998
lstm,multi,1,Dingling,20.07605895194797,29.012976179948275,0.8678181306433624,0.5094620748525364,26.710923014807072,42.296664918491416,0.9384376616658044,5808,1933
lstm,multi,1,Dongsi,22.50945933134431,34.82691050217049,0.8727189169662621,0.41889404489958754,30.411872601132362,46.831181375793705,0.936418359668924,5808,2658
lstm,multi,1,Guanyuan,20.928284135403384,31.21417445070206,0.8843798360277783,0.42348059499289986,27.58255357111997,41.96394576017143,0.9342980054751662,5808,2557
lstm,multi,1,Gucheng,21.252610886392514,33.932998891227456,0.8751591022184012,0.41083840842337177,28.78656470680541,47.19683307484324,0.9354066985645934,5808,2508
